county fair	second place ribbon	in an empty stall
junk car	the hum of bees	beneath the hood
the christmas	after we told them	artificial tree
a bit of rust	on the chevy's fender	harvest moon
a lightning strike gives up a flower
forest clearing	a scapula	left for the moon
that time of year	moonlight fills	his empty chair
birding . . .	the unfamiliar path	home
winter solstice	the tilt	of her hospital bed
first morning	firecracker papers	wander the streets
flies wait it out	under a cows chin	spring shower
heartwood	the saw changes	its tune
snow field	the earth marked	by fallen angels
setting sun	an accordion squeezes	the night air
no moon	the click of stilettos	on cobblestones
flowing estuary	native languages	long gone
in the hot tub	my eyes on her floating breasts	hunters moon
rosebud unfolding	the seed packet left behind	in revelations
no escaping	this moonlight	pompeii
river mud	the shape	of boys
somewhere becoming rain becoming somewhere
desert twilight	a map with many creases	nailed to a cross
we huddle	over mothers open grave	lawless winter
a long bus ride	the prophetic language	of the stops
navajo moon	the coyote call	not a coyote
deleting words	from the eulogy	falling leaves
mark smith
calla lily	the soundof a ladder	lengthening
tasting the well	in the water	summer stars
mothers day	the expiration date	on wildflower seeds
northern lights . . .	the scratchy play	of seventy-eights
a recurring escape from my fathers dream
the big dipper	no matter where i stand	mountain sky
summer passing	the yard flamingos	rusty legs
glint of sunlight:	the respirator carries on	alone
all souls day...	my name called	from the front gate
autumn	an empty booster seat	in the barber's window
hunter's cabin:	of the woods	not of it
end of the walk	returning the crow's feather	where i found it
cafe for sale	outdoor tables rusting	into autumn
day lilies	another death date added	to the family tree
the house finch	has a song for it,	morning after snow
crescent moon	a bone carver sings	to his ancestor
close enough to touch	i let the junco lead me	away from its nest
blowing leaves	tempt the old cat,	but not enough
ancient mountains . . .	runners clearing hurdles	on the practice field
thanksgiving	fifteen minutes	of mince pie
blossoms . . .	the babys bare feet	pedal the air
butterfly	my attention	attention span
one moth	a thousand candles	light the darkness
trails end	my pebble	settles the cairn
family reunion	some of the beached kelp	in knots
a jar of pennies	on the lemonade stand	evening cool
lightning . . .	the scarecrow's coat sleeve	caught in mid-wave
summer's end	the hammock turned in	on itself
charcoal alley	children flick marbles	into the light
season of lights	the postman	leans to the wind
having no thought	we've come to see them	dogwoods in bloom
third place: ($50)	c. r. manley		turning tide	placing intact clams	back in the water
mallard pair	he rocks	on her wake
filtering in	with the night air	a skunk's warning
stone in my pocket	the brook cuts deeper	into the mountain
a bee chose	the rose i meant to pluck . . .	empty vase
soba noodles . . .	the new year	slips in
